year,state,county,candidate,party,votes,total_county_votes
2000,Michigan,Barry,Al Gore,democrat,9769,26244
2000,Michigan,Barry,George W. Bush,republican,15716,26244
2000,Michigan,Barry,Ralph Nader,green,612,26244
2000,Michigan,Barry,Other,NA,147,26244
2000,Michigan,Bay,Al Gore,democrat,28251,51636
2000,Michigan,Bay,George W. Bush,republican,22150,51636
2000,Michigan,Bay,Ralph Nader,green,972,51636
2000,Michigan,Bay,Other,NA,263,51636
2000,Michigan,Benzie,Al Gore,democrat,3546,8072
2000,Michigan,Benzie,George W. Bush,republican,4172,8072
2000,Michigan,Benzie,Ralph Nader,green,312,8072
2000,Michigan,Benzie,Other,NA,42,8072
2000,Michigan,Berrien,Al Gore,democrat,28152,65241
2000,Michigan,Berrien,George W. Bush,republican,35689,65241
2000,Michigan,Berrien,Ralph Nader,green,1154,65241
2000,Michigan,Berrien,Other,NA,246,65241
2000,Michigan,Branch,Al Gore,democrat,6691,15783
2000,Michigan,Branch,George W. Bush,republican,8743,15783
2000,Michigan,Branch,Ralph Nader,green,279,15783
2000,Michigan,Branch,Other,NA,70,15783
2000,Michigan,Calhoun,Al Gore,democrat,27312,55080
2000,Michigan,Calhoun,George W. Bush,republican,26291,55080
2000,Michigan,Calhoun,Ralph Nader,green,1176,55080
2000,Michigan,Calhoun,Other,NA,301,55080
2000,Michigan,Cass,Al Gore,democrat,8808,19825
2000,Michigan,Cass,George W. Bush,republican,10545,19825
2000,Michigan,Cass,Ralph Nader,green,371,19825
2000,Michigan,Cass,Other,NA,101,19825
2000,Michigan,Charlevoix,Al Gore,democrat,4958,12487
2000,Michigan,Charlevoix,George W. Bush,republican,7018,12487
2000,Michigan,Charlevoix,Ralph Nader,green,424,12487
2000,Michigan,Charlevoix,Other,NA,87,12487
2000,Michigan,Cheboygan,Al Gore,democrat,5484,12617
2000,Michigan,Cheboygan,George W. Bush,republican,6815,12617
2000,Michigan,Cheboygan,Ralph Nader,green,257,12617
2000,Michigan,Cheboygan,Other,NA,61,12617
2000,Michigan,Chippewa,Al Gore,democrat,6370,14354
2000,Michigan,Chippewa,George W. Bush,republican,7526,14354
2000,Michigan,Chippewa,Ralph Nader,green,361,14354
2000,Michigan,Chippewa,Other,NA,97,14354
2000,Michigan,Clare,Al Gore,democrat,6287,12607
2000,Michigan,Clare,George W. Bush,republican,5937,12607
2000,Michigan,Clare,Ralph Nader,green,262,12607
2000,Michigan,Clare,Other,NA,121,12607
2000,Michigan,Clinton,Al Gore,democrat,13394,32199
2000,Michigan,Clinton,George W. Bush,republican,18054,32199
2000,Michigan,Clinton,Ralph Nader,green,602,32199
2000,Michigan,Clinton,Other,NA,149,32199
2000,Michigan,Crawford,Al Gore,democrat,2790,6364
2000,Michigan,Crawford,George W. Bush,republican,3345,6364
2000,Michigan,Crawford,Ralph Nader,green,176,6364
2000,Michigan,Crawford,Other,NA,53,6364
2000,Michigan,Delta,Al Gore,democrat,7970,17316
2000,Michigan,Delta,George W. Bush,republican,8871,17316
2000,Michigan,Delta,Ralph Nader,green,390,17316
2000,Michigan,Delta,Other,NA,85,17316
2000,Michigan,Dickinson,Al Gore,democrat,5533,12832
2000,Michigan,Dickinson,George W. Bush,republican,6932,12832
2000,Michigan,Dickinson,Ralph Nader,green,301,12832
2000,Michigan,Dickinson,Other,NA,66,12832
2000,Michigan,Eaton,Al Gore,democrat,23211,49272
2000,Michigan,Eaton,George W. Bush,republican,24803,49272
2000,Michigan,Eaton,Ralph Nader,green,989,49272
2000,Michigan,Eaton,Other,NA,269,49272
2000,Michigan,Emmet,Al Gore,democrat,5451,14711
2000,Michigan,Emmet,George W. Bush,republican,8602,14711
2000,Michigan,Emmet,Ralph Nader,green,534,14711
2000,Michigan,Emmet,Other,NA,124,14711
2000,Michigan,Genesee,Al Gore,democrat,119833,190865
2000,Michigan,Genesee,George W. Bush,republican,66641,190865
2000,Michigan,Genesee,Ralph Nader,green,3623,190865
2000,Michigan,Genesee,Other,NA,768,190865
2000,Michigan,Gladwin,Al Gore,democrat,5573,11629
2000,Michigan,Gladwin,George W. Bush,republican,5743,11629
2000,Michigan,Gladwin,Ralph Nader,green,227,11629
2000,Michigan,Gladwin,Other,NA,86,11629
2000,Michigan,Gogebic,Al Gore,democrat,4066,8339
2000,Michigan,Gogebic,George W. Bush,republican,3929,8339
2000,Michigan,Gogebic,Ralph Nader,green,285,8339
2000,Michigan,Gogebic,Other,NA,59,8339
2000,Michigan,Grand Traverse,Al Gore,democrat,14371,38229
2000,Michigan,Grand Traverse,George W. Bush,republican,22358,38229
2000,Michigan,Grand Traverse,Ralph Nader,green,1263,38229
2000,Michigan,Grand Traverse,Other,NA,237,38229
2000,Michigan,Gratiot,Al Gore,democrat,6538,15179
2000,Michigan,Gratiot,George W. Bush,republican,8312,15179
2000,Michigan,Gratiot,Ralph Nader,green,265,15179
2000,Michigan,Gratiot,Other,NA,64,15179
2000,Michigan,Hillsdale,Al Gore,democrat,6495,17473
2000,Michigan,Hillsdale,George W. Bush,republican,10483,17473
2000,Michigan,Hillsdale,Ralph Nader,green,363,17473
2000,Michigan,Hillsdale,Other,NA,132,17473
2000,Michigan,Houghton,Al Gore,democrat,5688,14216
2000,Michigan,Houghton,George W. Bush,republican,7895,14216
2000,Michigan,Houghton,Ralph Nader,green,518,14216
2000,Michigan,Houghton,Other,NA,115,14216
2000,Michigan,Huron,Al Gore,democrat,6899,16095
2000,Michigan,Huron,George W. Bush,republican,8911,16095
2000,Michigan,Huron,Ralph Nader,green,230,16095
2000,Michigan,Huron,Other,NA,55,16095
2000,Michigan,Ingham,Al Gore,democrat,69231,120595
2000,Michigan,Ingham,George W. Bush,republican,47314,120595
2000,Michigan,Ingham,Ralph Nader,green,3290,120595
2000,Michigan,Ingham,Other,NA,760,120595
2000,Michigan,Ionia,Al Gore,democrat,9481,23970
2000,Michigan,Ionia,George W. Bush,republican,13915,23970
2000,Michigan,Ionia,Ralph Nader,green,423,23970
2000,Michigan,Ionia,Other,NA,151,23970
2000,Michigan,Iosco,Al Gore,democrat,6505,13222
2000,Michigan,Iosco,George W. Bush,republican,6345,13222
2000,Michigan,Iosco,Ralph Nader,green,308,13222
2000,Michigan,Iosco,Other,NA,64,13222
2000,Michigan,Iron,Al Gore,democrat,3014,6188
2000,Michigan,Iron,George W. Bush,republican,2967,6188
2000,Michigan,Iron,Ralph Nader,green,160,6188
2000,Michigan,Iron,Other,NA,47,6188
2000,Michigan,Isabella,Al Gore,democrat,10228,21069
2000,Michigan,Isabella,George W. Bush,republican,10053,21069
2000,Michigan,Isabella,Ralph Nader,green,666,21069
2000,Michigan,Isabella,Other,NA,122,21069
2000,Michigan,Jackson,Al Gore,democrat,28160,61946
2000,Michigan,Jackson,George W. Bush,republican,32066,61946
2000,Michigan,Jackson,Ralph Nader,green,1329,61946
2000,Michigan,Jackson,Other,NA,391,61946
2000,Michigan,Kalamazoo,Al Gore,democrat,48807,100656
2000,Michigan,Kalamazoo,George W. Bush,republican,48254,100656
2000,Michigan,Kalamazoo,Ralph Nader,green,3086,100656
2000,Michigan,Kalamazoo,Other,NA,509,100656
2000,Michigan,Kalkaska,Al Gore,democrat,2774,6849
2000,Michigan,Kalkaska,George W. Bush,republican,3842,6849
2000,Michigan,Kalkaska,Ralph Nader,green,173,6849
2000,Michigan,Kalkaska,Other,NA,60,6849
2000,Michigan,Kent,Al Gore,democrat,95442,250318
2000,Michigan,Kent,George W. Bush,republican,148602,250318
2000,Michigan,Kent,Ralph Nader,green,5019,250318
2000,Michigan,Kent,Other,NA,1255,250318
2000,Michigan,Keweenaw,Al Gore,democrat,540,1343
2000,Michigan,Keweenaw,George W. Bush,republican,740,1343
2000,Michigan,Keweenaw,Ralph Nader,green,53,1343
2000,Michigan,Keweenaw,Other,NA,10,1343
2000,Michigan,Lake,Al Gore,democrat,2584,4693
2000,Michigan,Lake,George W. Bush,republican,1961,4693
2000,Michigan,Lake,Ralph Nader,green,110,4693
2000,Michigan,Lake,Other,NA,38,4693
2000,Michigan,Lapeer,Al Gore,democrat,15749,37234
2000,Michigan,Lapeer,George W. Bush,republican,20351,37234
2000,Michigan,Lapeer,Ralph Nader,green,794,37234
2000,Michigan,Lapeer,Other,NA,340,37234
2000,Michigan,Leelanau,Al Gore,democrat,4635,12009
2000,Michigan,Leelanau,George W. Bush,republican,6840,12009
2000,Michigan,Leelanau,Ralph Nader,green,456,12009
2000,Michigan,Leelanau,Other,NA,78,12009
2000,Michigan,Lenawee,Al Gore,democrat,18365,40093
2000,Michigan,Lenawee,George W. Bush,republican,20681,40093
2000,Michigan,Lenawee,Ralph Nader,green,760,40093
2000,Michigan,Lenawee,Other,NA,287,40093
2000,Michigan,Livingston,Al Gore,democrat,28780,75475
2000,Michigan,Livingston,George W. Bush,republican,44637,75475
2000,Michigan,Livingston,Ralph Nader,green,1498,75475
2000,Michigan,Livingston,Other,NA,560,75475
2000,Michigan,Luce,Al Gore,democrat,956,2536
2000,Michigan,Luce,George W. Bush,republican,1480,2536
2000,Michigan,Luce,Ralph Nader,green,74,2536
2000,Michigan,Luce,Other,NA,26,2536
2000,Michigan,Mackinac,Al Gore,democrat,2533,5970
2000,Michigan,Mackinac,George W. Bush,republican,3272,5970
2000,Michigan,Mackinac,Ralph Nader,green,136,5970
2000,Michigan,Mackinac,Other,NA,29,5970
2000,Michigan,Macomb,Al Gore,democrat,172625,345559
2000,Michigan,Macomb,George W. Bush,republican,164265,345559
2000,Michigan,Macomb,Ralph Nader,green,6145,345559
2000,Michigan,Macomb,Other,NA,2524,345559
2000,Michigan,Manistee,Al Gore,democrat,5639,11428
2000,Michigan,Manistee,George W. Bush,republican,5401,11428
2000,Michigan,Manistee,Ralph Nader,green,320,11428
2000,Michigan,Manistee,Other,NA,68,11428
2000,Michigan,Marquette,Al Gore,democrat,15503,29179
2000,Michigan,Marquette,George W. Bush,republican,12577,29179
2000,Michigan,Marquette,Ralph Nader,green,936,29179
2000,Michigan,Marquette,Other,NA,163,29179
2000,Michigan,Mason,Al Gore,democrat,5579,13016
2000,Michigan,Mason,George W. Bush,republican,7066,13016
2000,Michigan,Mason,Ralph Nader,green,301,13016
2000,Michigan,Mason,Other,NA,70,13016
2000,Michigan,Mecosta,Al Gore,democrat,6300,14754
2000,Michigan,Mecosta,George W. Bush,republican,8072,14754
2000,Michigan,Mecosta,Ralph Nader,green,325,14754
2000,Michigan,Mecosta,Other,NA,57,14754
2000,Michigan,Menominee,Al Gore,democrat,4597,10434
2000,Michigan,Menominee,George W. Bush,republican,5529,10434
2000,Michigan,Menominee,Ralph Nader,green,269,10434
2000,Michigan,Menominee,Other,NA,39,10434
2000,Michigan,Midland,Al Gore,democrat,15959,38888
2000,Michigan,Midland,George W. Bush,republican,21887,38888
2000,Michigan,Midland,Ralph Nader,green,794,38888
2000,Michigan,Midland,Other,NA,248,38888
2000,Michigan,Missaukee,Al Gore,democrat,2062,6496
2000,Michigan,Missaukee,George W. Bush,republican,4274,6496
2000,Michigan,Missaukee,Ralph Nader,green,123,6496
2000,Michigan,Missaukee,Other,NA,37,6496
2000,Michigan,Monroe,Al Gore,democrat,31555,61795
2000,Michigan,Monroe,George W. Bush,republican,28940,61795
2000,Michigan,Monroe,Ralph Nader,green,996,61795
2000,Michigan,Monroe,Other,NA,304,61795
2000,Michigan,Montcalm,Al Gore,democrat,9627,22904
2000,Michigan,Montcalm,George W. Bush,republican,12696,22904
2000,Michigan,Montcalm,Ralph Nader,green,483,22904
2000,Michigan,Montcalm,Other,NA,98,22904
2000,Michigan,Montmorency,Al Gore,democrat,2139,5009
2000,Michigan,Montmorency,George W. Bush,republican,2750,5009
2000,Michigan,Montmorency,Ralph Nader,green,92,5009
2000,Michigan,Montmorency,Other,NA,28,5009
2000,Michigan,Muskegon,Al Gore,democrat,37865,69270
2000,Michigan,Muskegon,George W. Bush,republican,30028,69270
2000,Michigan,Muskegon,Ralph Nader,green,1131,69270
2000,Michigan,Muskegon,Other,NA,246,69270
2000,Michigan,Newaygo,Al Gore,democrat,7677,19557
2000,Michigan,Newaygo,George W. Bush,republican,11399,19557
2000,Michigan,Newaygo,Ralph Nader,green,361,19557
2000,Michigan,Newaygo,Other,NA,120,19557
2000,Michigan,Oakland,Al Gore,democrat,281201,570265
2000,Michigan,Oakland,George W. Bush,republican,274319,570265
2000,Michigan,Oakland,Ralph Nader,green,10382,570265
2000,Michigan,Oakland,Other,NA,4363,570265
2000,Michigan,Oceana,Al Gore,democrat,4597,10772
2000,Michigan,Oceana,George W. Bush,republican,5913,10772
2000,Michigan,Oceana,Ralph Nader,green,211,10772
2000,Michigan,Oceana,Other,NA,51,10772
2000,Michigan,Ogemaw,Al Gore,democrat,4896,9855
2000,Michigan,Ogemaw,George W. Bush,republican,4706,9855
2000,Michigan,Ogemaw,Ralph Nader,green,191,9855
2000,Michigan,Ogemaw,Other,NA,62,9855
2000,Michigan,Ontonagon,Al Gore,democrat,1514,4151
2000,Michigan,Ontonagon,George W. Bush,republican,2472,4151
2000,Michigan,Ontonagon,Ralph Nader,green,135,4151
2000,Michigan,Ontonagon,Other,NA,30,4151
2000,Michigan,Osceola,Al Gore,democrat,4006,9930
2000,Michigan,Osceola,George W. Bush,republican,5680,9930
2000,Michigan,Osceola,Ralph Nader,green,186,9930
2000,Michigan,Osceola,Other,NA,58,9930
2000,Michigan,Oscoda,Al Gore,democrat,1677,3992
2000,Michigan,Oscoda,George W. Bush,republican,2207,3992
2000,Michigan,Oscoda,Ralph Nader,green,88,3992
2000,Michigan,Oscoda,Other,NA,20,3992
2000,Michigan,Otsego,Al Gore,democrat,4034,10505
2000,Michigan,Otsego,George W. Bush,republican,6108,10505
2000,Michigan,Otsego,Ralph Nader,green,315,10505
2000,Michigan,Otsego,Other,NA,48,10505
2000,Michigan,Ottawa,Al Gore,democrat,29600,110599
2000,Michigan,Ottawa,George W. Bush,republican,78703,110599
2000,Michigan,Ottawa,Ralph Nader,green,1866,110599
2000,Michigan,Ottawa,Other,NA,430,110599
2000,Michigan,Presque Isle,Al Gore,democrat,3242,7080
2000,Michigan,Presque Isle,George W. Bush,republican,3660,7080
2000,Michigan,Presque Isle,Ralph Nader,green,136,7080
2000,Michigan,Presque Isle,Other,NA,42,7080
2000,Michigan,Roscommon,Al Gore,democrat,6433,12928
2000,Michigan,Roscommon,George W. Bush,republican,6190,12928
2000,Michigan,Roscommon,Ralph Nader,green,256,12928
2000,Michigan,Roscommon,Other,NA,49,12928
2000,Michigan,Saginaw,Al Gore,democrat,50825,93756
2000,Michigan,Saginaw,George W. Bush,republican,41152,93756
2000,Michigan,Saginaw,Ralph Nader,green,1418,93756
2000,Michigan,Saginaw,Other,NA,361,93756
2000,Michigan,St. Clair,Al Gore,democrat,33002,68516
2000,Michigan,St. Clair,George W. Bush,republican,33571,68516
2000,Michigan,St. Clair,Ralph Nader,green,1341,68516
2000,Michigan,St. Clair,Other,NA,602,68516
2000,Michigan,St. Joseph,Al Gore,democrat,8574,22024
2000,Michigan,St. Joseph,George W. Bush,republican,12906,22024
2000,Michigan,St. Joseph,Ralph Nader,green,434,22024
2000,Michigan,St. Joseph,Other,NA,110,22024
2000,Michigan,Sanilac,Al Gore,democrat,7153,18566
2000,Michigan,Sanilac,George W. Bush,republican,10966,18566
2000,Michigan,Sanilac,Ralph Nader,green,320,18566
2000,Michigan,Sanilac,Other,NA,127,18566
2000,Michigan,Schoolcraft,Al Gore,democrat,2036,4198
2000,Michigan,Schoolcraft,George W. Bush,republican,2088,4198
2000,Michigan,Schoolcraft,Ralph Nader,green,56,4198
2000,Michigan,Schoolcraft,Other,NA,18,4198
2000,Michigan,Shiawassee,Al Gore,democrat,15520,32218
2000,Michigan,Shiawassee,George W. Bush,republican,15816,32218
2000,Michigan,Shiawassee,Ralph Nader,green,639,32218
2000,Michigan,Shiawassee,Other,NA,243,32218
2000,Michigan,Tuscola,Al Gore,democrat,10845,24652
2000,Michigan,Tuscola,George W. Bush,republican,13213,24652
2000,Michigan,Tuscola,Ralph Nader,green,454,24652
2000,Michigan,Tuscola,Other,NA,140,24652
2000,Michigan,Van Buren,Al Gore,democrat,13796,29482
2000,Michigan,Van Buren,George W. Bush,republican,14792,29482
2000,Michigan,Van Buren,Ralph Nader,green,686,29482
2000,Michigan,Van Buren,Other,NA,208,29482
2000,Michigan,Washtenaw,Al Gore,democrat,86647,144940
2000,Michigan,Washtenaw,George W. Bush,republican,52459,144940
2000,Michigan,Washtenaw,Ralph Nader,green,4843,144940
2000,Michigan,Washtenaw,Other,NA,991,144940
2000,Michigan,Wayne,Al Gore,democrat,530414,768627
2000,Michigan,Wayne,George W. Bush,republican,223021,768627
2000,Michigan,Wayne,Ralph Nader,green,11287,768627
2000,Michigan,Wayne,Other,NA,3905,768627
2000,Michigan,Wexford,Al Gore,democrat,5326,12982
2000,Michigan,Wexford,George W. Bush,republican,7215,12982
2000,Michigan,Wexford,Ralph Nader,green,352,12982
2000,Michigan,Wexford,Other,NA,89,12982
2000,Minnesota,Aitkin,Al Gore,democrat,3830,8260
2000,Minnesota,Aitkin,George W. Bush,republican,3755,8260
2000,Minnesota,Aitkin,Ralph Nader,green,403,8260
2000,Minnesota,Aitkin,Other,NA,272,8260
2000,Minnesota,Anoka,Al Gore,democrat,68008,145619
2000,Minnesota,Anoka,George W. Bush,republican,69256,145619
2000,Minnesota,Anoka,Ralph Nader,green,6616,145619
2000,Minnesota,Anoka,Other,NA,1739,145619
2000,Minnesota,Becker,Al Gore,democrat,5253,14333
2000,Minnesota,Becker,George W. Bush,republican,8152,14333
2000,Minnesota,Becker,Ralph Nader,green,591,14333
2000,Minnesota,Becker,Other,NA,337,14333
2000,Minnesota,Beltrami,Al Gore,democrat,7301,17217
2000,Minnesota,Beltrami,George W. Bush,republican,8346,17217
2000,Minnesota,Beltrami,Ralph Nader,green,1269,17217
2000,Minnesota,Beltrami,Other,NA,301,17217
2000,Minnesota,Benton,Al Gore,democrat,6009,14908
2000,Minnesota,Benton,George W. Bush,republican,7663,14908
2000,Minnesota,Benton,Ralph Nader,green,862,14908
2000,Minnesota,Benton,Other,NA,374,14908
2000,Minnesota,Big Stone,Al Gore,democrat,1430,2980
2000,Minnesota,Big Stone,George W. Bush,republican,1370,2980
2000,Minnesota,Big Stone,Ralph Nader,green,109,2980
2000,Minnesota,Big Stone,Other,NA,71,2980
2000,Minnesota,Blue Earth,Al Gore,democrat,12329,27402
2000,Minnesota,Blue Earth,George W. Bush,republican,12942,27402
2000,Minnesota,Blue Earth,Ralph Nader,green,1761,27402
2000,Minnesota,Blue Earth,Other,NA,370,27402
2000,Minnesota,Brown,Al Gore,democrat,4650,12834
2000,Minnesota,Brown,George W. Bush,republican,7370,12834
2000,Minnesota,Brown,Ralph Nader,green,561,12834
2000,Minnesota,Brown,Other,NA,253,12834
2000,Minnesota,Carlton,Al Gore,democrat,8620,15081
2000,Minnesota,Carlton,George W. Bush,republican,5578,15081
2000,Minnesota,Carlton,Ralph Nader,green,634,15081
2000,Minnesota,Carlton,Other,NA,249,15081
2000,Minnesota,Carver,Al Gore,democrat,12462,35021
2000,Minnesota,Carver,George W. Bush,republican,20790,35021
2000,Minnesota,Carver,Ralph Nader,green,1381,35021
2000,Minnesota,Carver,Other,NA,388,35021
2000,Minnesota,Cass,Al Gore,democrat,5534,13593
2000,Minnesota,Cass,George W. Bush,republican,7134,13593
2000,Minnesota,Cass,Ralph Nader,green,663,13593
2000,Minnesota,Cass,Other,NA,262,13593
2000,Minnesota,Chippewa,Al Gore,democrat,2952,6352
2000,Minnesota,Chippewa,George W. Bush,republican,2977,6352
2000,Minnesota,Chippewa,Ralph Nader,green,268,6352
2000,Minnesota,Chippewa,Other,NA,155,6352
2000,Minnesota,Chisago,Al Gore,democrat,9593,21987
2000,Minnesota,Chisago,George W. Bush,republican,10937,21987
2000,Minnesota,Chisago,Ralph Nader,green,1116,21987
2000,Minnesota,Chisago,Other,NA,341,21987
2000,Minnesota,Clay,Al Gore,democrat,10128,23358
2000,Minnesota,Clay,George W. Bush,republican,11712,23358
2000,Minnesota,Clay,Ralph Nader,green,963,23358
2000,Minnesota,Clay,Other,NA,555,23358
2000,Minnesota,Clearwater,Al Gore,democrat,1466,3824
2000,Minnesota,Clearwater,George W. Bush,republican,2137,3824
2000,Minnesota,Clearwater,Ralph Nader,green,134,3824
2000,Minnesota,Clearwater,Other,NA,87,3824
2000,Minnesota,Cook,Al Gore,democrat,1171,2820
2000,Minnesota,Cook,George W. Bush,republican,1295,2820
2000,Minnesota,Cook,Ralph Nader,green,290,2820
2000,Minnesota,Cook,Other,NA,64,2820
2000,Minnesota,Cottonwood,Al Gore,democrat,2503,6181
2000,Minnesota,Cottonwood,George W. Bush,republican,3369,6181
2000,Minnesota,Cottonwood,Ralph Nader,green,208,6181
2000,Minnesota,Cottonwood,Other,NA,101,6181
2000,Minnesota,Crow Wing,Al Gore,democrat,11255,28128
2000,Minnesota,Crow Wing,George W. Bush,republican,15035,28128
2000,Minnesota,Crow Wing,Ralph Nader,green,1314,28128
2000,Minnesota,Crow Wing,Other,NA,524,28128
2000,Minnesota,Dakota,Al Gore,democrat,85446,182249
2000,Minnesota,Dakota,George W. Bush,republican,87250,182249
2000,Minnesota,Dakota,Ralph Nader,green,7799,182249
2000,Minnesota,Dakota,Other,NA,1754,182249
2000,Minnesota,Dodge,Al Gore,democrat,3370,8050
2000,Minnesota,Dodge,George W. Bush,republican,4213,8050
2000,Minnesota,Dodge,Ralph Nader,green,327,8050
2000,Minnesota,Dodge,Other,NA,140,8050
2000,Minnesota,Douglas,Al Gore,democrat,6352,17205
2000,Minnesota,Douglas,George W. Bush,republican,9811,17205
2000,Minnesota,Douglas,Ralph Nader,green,746,17205
2000,Minnesota,Douglas,Other,NA,296,17205
2000,Minnesota,Faribault,Al Gore,democrat,3624,8424
2000,Minnesota,Faribault,George W. Bush,republican,4336,8424
2000,Minnesota,Faribault,Ralph Nader,green,309,8424
2000,Minnesota,Faribault,Other,NA,155,8424
2000,Minnesota,Fillmore,Al Gore,democrat,5020,10223
2000,Minnesota,Fillmore,George W. Bush,republican,4646,10223
2000,Minnesota,Fillmore,Ralph Nader,green,409,10223
2000,Minnesota,Fillmore,Other,NA,148,10223
2000,Minnesota,Freeborn,Al Gore,democrat,8514,16139
2000,Minnesota,Freeborn,George W. Bush,republican,6843,16139
2000,Minnesota,Freeborn,Ralph Nader,green,555,16139
2000,Minnesota,Freeborn,Other,NA,227,16139
2000,Minnesota,Goodhue,Al Gore,democrat,9981,22257
2000,Minnesota,Goodhue,George W. Bush,republican,10852,22257
2000,Minnesota,Goodhue,Ralph Nader,green,1093,22257
2000,Minnesota,Goodhue,Other,NA,331,22257
2000,Minnesota,Grant,Al Gore,democrat,1507,3624
2000,Minnesota,Grant,George W. Bush,republican,1804,3624
2000,Minnesota,Grant,Ralph Nader,green,214,3624
2000,Minnesota,Grant,Other,NA,99,3624
2000,Minnesota,Hennepin,Al Gore,democrat,307599,573846
2000,Minnesota,Hennepin,George W. Bush,republican,225657,573846
2000,Minnesota,Hennepin,Ralph Nader,green,35584,573846
2000,Minnesota,Hennepin,Other,NA,5006,573846
2000,Minnesota,Houston,Al Gore,democrat,4502,10167
2000,Minnesota,Houston,George W. Bush,republican,5077,10167
2000,Minnesota,Houston,Ralph Nader,green,421,10167
2000,Minnesota,Houston,Other,NA,167,10167
2000,Minnesota,Hubbard,Al Gore,democrat,3632,9613
2000,Minnesota,Hubbard,George W. Bush,republican,5307,9613
2000,Minnesota,Hubbard,Ralph Nader,green,484,9613
2000,Minnesota,Hubbard,Other,NA,190,9613
2000,Minnesota,Isanti,Al Gore,democrat,6247,14929
2000,Minnesota,Isanti,George W. Bush,republican,7668,14929
2000,Minnesota,Isanti,Ralph Nader,green,753,14929
2000,Minnesota,Isanti,Other,NA,261,14929
2000,Minnesota,Itasca,Al Gore,democrat,10583,21714
2000,Minnesota,Itasca,George W. Bush,republican,9545,21714
2000,Minnesota,Itasca,Ralph Nader,green,1137,21714
2000,Minnesota,Itasca,Other,NA,449,21714
2000,Minnesota,Jackson,Al Gore,democrat,2364,5438
2000,Minnesota,Jackson,George W. Bush,republican,2773,5438
2000,Minnesota,Jackson,Ralph Nader,green,194,5438
2000,Minnesota,Jackson,Other,NA,107,5438
2000,Minnesota,Kanabec,Al Gore,democrat,2831,6811
2000,Minnesota,Kanabec,George W. Bush,republican,3480,6811
2000,Minnesota,Kanabec,Ralph Nader,green,344,6811
2000,Minnesota,Kanabec,Other,NA,156,6811
2000,Minnesota,Kandiyohi,Al Gore,democrat,8220,19285
2000,Minnesota,Kandiyohi,George W. Bush,republican,10026,19285
2000,Minnesota,Kandiyohi,Ralph Nader,green,734,19285
2000,Minnesota,Kandiyohi,Other,NA,305,19285
2000,Minnesota,Kittson,Al Gore,democrat,1107,2637
2000,Minnesota,Kittson,George W. Bush,republican,1353,2637
2000,Minnesota,Kittson,Ralph Nader,green,68,2637
2000,Minnesota,Kittson,Other,NA,109,2637
2000,Minnesota,Koochiching,Al Gore,democrat,2903,6879
2000,Minnesota,Koochiching,George W. Bush,republican,3523,6879
2000,Minnesota,Koochiching,Ralph Nader,green,302,6879
2000,Minnesota,Koochiching,Other,NA,151,6879
2000,Minnesota,Lac Qui Parle,Al Gore,democrat,2244,4453
2000,Minnesota,Lac Qui Parle,George W. Bush,republican,1941,4453
2000,Minnesota,Lac Qui Parle,Ralph Nader,green,160,4453
2000,Minnesota,Lac Qui Parle,Other,NA,108,4453
2000,Minnesota,Lake,Al Gore,democrat,3579,6563
2000,Minnesota,Lake,George W. Bush,republican,2465,6563
2000,Minnesota,Lake,Ralph Nader,green,426,6563
2000,Minnesota,Lake,Other,NA,93,6563
2000,Minnesota,Lake of the Woods,Al Gore,democrat,848,2187
2000,Minnesota,Lake of the Woods,George W. Bush,republican,1216,2187
2000,Minnesota,Lake of the Woods,Ralph Nader,green,74,2187
2000,Minnesota,Lake of the Woods,Other,NA,49,2187
2000,Minnesota,Le Sueur,Al Gore,democrat,5361,12331
2000,Minnesota,Le Sueur,George W. Bush,republican,6138,12331
2000,Minnesota,Le Sueur,Ralph Nader,green,603,12331
2000,Minnesota,Le Sueur,Other,NA,229,12331
2000,Minnesota,Lincoln,Al Gore,democrat,1590,3284
2000,Minnesota,Lincoln,George W. Bush,republican,1513,3284
2000,Minnesota,Lincoln,Ralph Nader,green,105,3284
2000,Minnesota,Lincoln,Other,NA,76,3284
2000,Minnesota,Lyon,Al Gore,democrat,4737,11489
2000,Minnesota,Lyon,George W. Bush,republican,6087,11489
2000,Minnesota,Lyon,Ralph Nader,green,460,11489
2000,Minnesota,Lyon,Other,NA,205,11489
2000,Minnesota,McLeod,Al Gore,democrat,5609,15394
2000,Minnesota,McLeod,George W. Bush,republican,8782,15394
2000,Minnesota,McLeod,Ralph Nader,green,681,15394
2000,Minnesota,McLeod,Other,NA,322,15394
2000,Minnesota,Mahnomen,Al Gore,democrat,921,2224
2000,Minnesota,Mahnomen,George W. Bush,republican,1122,2224
2000,Minnesota,Mahnomen,Ralph Nader,green,96,2224
2000,Minnesota,Mahnomen,Other,NA,85,2224
2000,Minnesota,Marshall,Al Gore,democrat,1910,5199
2000,Minnesota,Marshall,George W. Bush,republican,2912,5199
2000,Minnesota,Marshall,Ralph Nader,green,160,5199
2000,Minnesota,Marshall,Other,NA,217,5199
2000,Minnesota,Martin,Al Gore,democrat,4166,10371
2000,Minnesota,Martin,George W. Bush,republican,5686,10371
2000,Minnesota,Martin,Ralph Nader,green,376,10371
2000,Minnesota,Martin,Other,NA,143,10371
2000,Minnesota,Meeker,Al Gore,democrat,4402,10672
2000,Minnesota,Meeker,George W. Bush,republican,5520,10672
